itemName,itemNumber,itemType,itemBrand,itemCondition,itemSize,itemColor,itemRemarks,itemStatus,itemMfgDate,position,warehouseName,warehouseDescription,positionName,positionCapacity,photos,purchaseDate,purchasePrice,purchasePlatform,purchasePriceCurrency,purchasePriceExchangeRate,launchDate,soldDate,soldPrice,soldPlatform,soldPriceCurrency,soldPriceExchangeRate,itemGrossProfit,itemNetProfit,shipping,transactionStatues,isReturn,storageDuration,domesticShipping,internationalShipping,domesticTrackingNumber,internationalTrackingNumber,listingPlatforms,otherFees
dunk sb 熊猫鸽子,42.5,2000,9新,配件丢失,,售出,58500,#VALUE!,543.64 ,44.18%,6月23日,,,,,,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
aj1 黑红脚趾,42.5,970,95新,配件齐全,鞋盒用胶带固定,售出,33480,#VALUE!,598.37 ,65.72%,6月24日,2023/9/7,,,,,,,,,,2024/3/10,100400,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
aj1 北卡蓝,45,1380,9新,配件丢失,,售出,50600,#VALUE!,494.63 ,79.75%,7月2日,2023/7/27,,,,,,,,,,2024/3/18,113460,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
dunk sb true red,42,3600,未使用近全新,配件齐全,,未上架,,#VALUE!,861.40 ,0.00%,7月2日,,,,,,,,,,,2024/3/29,115209,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
dunk sb 牙龈出血,44,1740,全新,配件鞋盒丢失,,未售出,,#VALUE!,0.00 ,0.00%,7月2日,,,,,,,,,,,2024/3/23,64170,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
dunk kasina 深蓝,43,1680,9新,配件丢失,,售出,58880,#VALUE!,883.50 ,72.79%,7月4日,2023/9/10,,,,,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb 潜鸟,41,1500,9新,配件齐全,,售出,46500,#VALUE!,637.48 ,51.43%,7月7日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑曜石,42.5,860,9新,配件齐全,,未售出,,#VALUE!,1100.60 ,0.00%,7月8日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 灯芯绒,44,700,8新,配件鞋盒丢失,,未售出,,#VALUE!,0.00 ,0.00%,7月9日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,44,2500,未使用近全新,配件齐全,,售出,78200,#VALUE!,0.00 ,55.53%,7月9日,2023/7/27,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 汤达人,43,930,9新,配件丢失,,售出,27900,#VALUE!,1222.88 ,42.25%,7月9日,2023/11/30,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑蓝,45,820,95新,配件齐全,,售出,38000,#VALUE!,771.50 ,124.15%,7月11日,2023/9/6,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb jedi,42.5,900,8新,配件齐全,,售出,46850,#VALUE!,0.00 ,154.37%,7月14日,2023/7/31,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,42.5,2700,全新,配件齐全,,售出,80960,#VALUE!,0.00 ,49.22%,7月15日,2023/8/26,,,,,,,,,,,,,,,,,,,,,,,,,,
sacai 红蓝,42.5,1000,95新,配件齐全,,未售出,,#VALUE!,1388.20 ,0.00%,7月18日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 灯芯绒,43,1000,,,,未售出,,#VALUE!,392.90 ,0.00%,7月23日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 禁止转卖,42,1650,9新,配件齐全,,售出,48000,#VALUE!,1018.00 ,42.30%,7月25日,2023/9/2,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb 粉红熊,44.5,1000,95新,配件齐全,,售出,32550,#VALUE!,1389.35 ,56.01%,7月25日,2023/10/4,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb 钻石,44,5900,9新,配件齐全,,售出,148800,#VALUE!,1328.96 ,26.93%,7月25日,2023/11/13,,,闲鱼,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
kobe 5 laker,46,2300,,,,售出,61380,#VALUE!,0.00 ,31.76%,7月25日,2024/7/15,,,闲鱼,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
aj1 薄荷糖,44,850,9新,配件齐全,,售出,30225,#VALUE!,0.00 ,69.59%,7月26日,2023/12/5,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
nb 992EA 黑武士 ,42,600,8新,配件鞋盒丢失,,售出,27900,#VALUE!,698.00 ,120.48%,7月26日,2023/9/1,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 993 navi,44.5,800,9新,,,售出,26000,#VALUE!,560.05 ,53.25%,7月26日,,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992 海军蓝,43,720,8新,配件齐全,褪色，后跟磨损,售出,30690,#VALUE!,1588.80 ,103.50%,7月27日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 薄荷糖,42,950,9新,配件齐全,,售出,30500,#VALUE!,730.38 ,53.21%,7月28日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,44,1640,9新,配件齐全,,售出,55800,#VALUE!,591.48 ,67.43%,7月28日,2023/11/10,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 熊猫鸽子,42,1000,战斗成色,配件丢失,,售出,30500,#VALUE!,722.90 ,45.55%,7月28日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb buck,43,1800,9新,配件齐全,开胶,售出,46314,#VALUE!,426.00 ,25.67%,7月30日,2024/7/15,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992EA 黑武士 ,42.5,1470,全新,配件齐全,,售出,53940,#VALUE!,745.19 ,80.34%,7月30日,2023/12/2,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 993 navi,41.5,1110,9新,配件齐全,鞋盒破损,售出,35340,#VALUE!,505.50 ,53.36%,7月30日,2024/3/23,,,,,,,,,,,,,,,,,,,,,,,,,,
aj4 北卡蓝,42.5,500,9新,配件丢失,,未售出,,#VALUE!,1105.80 ,0.00%,8月1日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 拉斯维加斯,44,2500,99新,配件齐全,,售出,116994,#VALUE!,455.50 ,134.67%,8月1日,2024/6/19,,,闲鱼,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb 牙龈出血,42,500,战斗成色,配件丢失,,未售出,,#VALUE!,462.01 ,0.00%,8月1日,,,,闲鱼,,,,,,,,,,,,,,,,,,,,,,,
dunk sb huf 旧金山,42,970,95新,配件齐全,,售出,32550,#VALUE!,1180.94 ,60.83%,8月3日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb born & raised,41,3500,95新,配件丢失,,售出,107000,#VALUE!,592.34 ,53.06%,8月7日,2023/9/3,,,95分,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,45,1400,9新,配件齐全,,售出,48360,#VALUE!,0.00 ,69.03%,8月7日,2023/12/18,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,43,2500,99新,配件齐全,,售出,83630,#VALUE!,3366.69 ,66.61%,8月7日,2023/10/27,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 辛普森（红）,43,770,95新,配件齐全,,售出,29760,#VALUE!,0.00 ,84.12%,8月8日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 白钻石,44.5,620,8新,配件齐全,,售出,30690,#VALUE!,590.05 ,0.00%,8月9日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 莱卡,45.5,2000,未使用近全新,配件齐全,,未售出,,#VALUE!,1857.00 ,0.00%,8月9日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 遛狗特殊盒,42.5,2420,全新,配件齐全,,售出,79050,#VALUE!,966.36 ,62.46%,8月9日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,42,2300,全新,配件齐全,充新海关,售出,74400,#VALUE!,1665.13 ,60.63%,8月10日,2024/4/16,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 turbo green,44,1200,95新,配件齐全,,售出,30225,#VALUE!,647.76 ,20.12%,8月11日,,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
aj1 薄荷糖,42,1000,95新,配件齐全,闲鱼,售出,30225,#VALUE!,845.19 ,44.15%,8月11日,2024/12/15,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑曜石,43,1200,,,,未售出,,#VALUE!,0.00 ,0.00%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj4 北卡蓝,44,1000,9新,配件鞋盒丢失,,未售出,,#VALUE!,1511.55 ,0.00%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb elephant,42,800,9新,配件齐全,,未售出,,#VALUE!,1394.40 ,0.00%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,45.5,750,8新,配件鞋盒丢失,,售出,50220,#VALUE!,241.48 ,228.16%,8月11日,2024/1/24,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 滑板女郎,44,2300,9新,配件齐全,,售出,70680,#VALUE!,441.48 ,52.38%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 星巴克,44,2950,99新,配件齐全,,售出,100440,#VALUE!,0.00 ,70.25%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 芝加哥,42,1200,9新,配件齐全,,售出,32550,#VALUE!,0.00 ,30.00%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 芝加哥,44,1200,8新,配件齐全,,售出,18414,#VALUE!,0.00 ,-30.07%,8月11日,2024/8/15,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992 jjjj,43,3500,95新,配件齐全,闲鱼,售出,85504,#VALUE!,1711.22 ,21.73%,8月11日,2024/4/2,,,,,,,,,,,,,,,,,,,,,,,,,,
